id,fen,mateIn,composer
2574bb6a,8/BnK4N/2b1p1p1/p2pk1P1/3pNp2/3P3P/1r2RP1q/r3b3 w - - 0 1,20,Matthias Schneider
6daa636a,8/rp6/8/1p5Q/kp6/bp6/1p6/1K6 w - - 0 1,13,Ferhat Karmil
60f4df5b,8/1p6/1N2B2N/8/8/8/2K5/k7 w - - 0 1,9,Luigi Bühler
7e841691,Rb2K2n/1rp5/1r1p4/2pNkp2/2PN1p1n/2PP1p2/2BP1P2/8 w - - 0 1,9,
8abd149d,8/1p5p/7p/3pp2p/4k2P/3p2P1/3K2P1/2Q5 w - - 0 1,8,Wolfgang Andreis
3abec2ff,8/8/8/7k/p4K2/8/8/4R3 w - - 0 1,9,Werner Speckmann
b5ec1960,8/k7/3Q4/8/3p4/1p1p4/pp1p4/rrbK4 w - - 0 1,13,Josef Halumbirek
b58b46f1,7k/7p/5K1N/5P2/6P1/7b/8/8 w - - 0 1,9,Wladimir Wiktorowitsch Sokolow
98b45140,8/3p4/8/8/2B5/8/P4K2/7k w - - 0 1,8,Владимир Семёнович Гребешков
be059f69,3b2N1/4p3/1p1pPp2/1P1k1Kp1/1Pp3Pp/2Pp3P/3P3P/8 w - - 0 1,13,Milenko Đukić
4c2c3d7a,8/K2B4/1p3B2/3b4/2P5/8/pR6/k4r2 w - - 0 1,8,Hartmut Rieg
b60a4fbf,8/p7/N7/8/8/p7/8/k2K4 w - - 0 1,11,Johannes Steinmüller
a9c64b1f,7K/p3pppp/8/8/8/1RNQ4/1pppB3/r1k1r3 w - - 0 1,9,Siegfried Hornecker
38c7c406,k4n2/p7/P2B4/2P1P2r/2pPKP2/3pP3/rpp1N2p/4b2B w - - 0 1,8,Norman Alasdair Macleod
4ee011c5,8/5p2/5K2/3B4/3B4/8/6rp/7k w - - 0 1,8,Krzysztof Drążkowski
336c5e6f,7K/7P/4p3/4Q3/8/8/6rp/7k w - - 0 1,8,Béla Majoros
c85dd786,8/8/4p3/2p5/p3Q3/K7/2r5/1k6 w - - 0 1,13,Werner Speckmann
039e8014,1N3BK1/5pn1/3P2pk/Pbp1bprp/6pP/2pn1P2/p3P3/5r2 w - - 0 1,12,Olivier Schmitt
f19142fd,8/8/8/8/R1Pp4/1Rp5/1prp1B2/1kbK4 w - - 0 1,10,Arno Tüngler
3bef1e58,8/8/5B2/2K4B/5k2/2p5/2P2P2/8 w - - 0 1,10,Николай С. Зиновьев
7d6ae45e,8/3p2p1/p2p2Pb/Pp1K2p1/1p2N1p1/1P1k2P1/1B6/3B4 w - - 0 1,11,Wilfried Neef
04723721,n4Q2/P1b4k/b5p1/P1p3p1/3p1p2/r3p1P1/2r1Np2/1R3R1K w - - 0 1,9,Alain Campbell White
9b6c2f75,1K2B3/8/k7/Pn6/1P6/8/8/8 w - - 0 1,8,Николай С. Зиновьев
bec2b7c7,1K6/Qp5p/6p1/8/2r1p1pN/6pP/6p1/6Bk w - - 0 1,8,Miroslav Havel
60bd6a45,8/8/8/2p5/2P5/6Kp/7B/6Nk w - - 0 1,8,Otto Georg Edgar Dehler
3457a419,8/r2p1p2/p6K/8/2p4k/5BR1/1N2pP2/r2b4 w - - 0 1,10,Григорий Леонтьевич Попов
887e6def,8/K7/8/B7/2N5/N7/3P4/2kb4 w - - 0 1,10,Глеб Николаевич Заходякин
8614c013,8/8/1K6/p6P/8/5p1k/8/3B1N2 w - - 0 1,8,Сергей Павлович Захаров
b6d3e256,1k6/1p1K4/1B6/8/2N2p2/8/8/8 w - - 0 1,8,Gunter Jordan
fc8353be,k7/2R2p2/1R3p2/3N3r/8/3n1p1p/1pp4K/2n4b w - - 0 1,8,Анатолий Викторович Стёпочкин
739b52f1,7k/1r1p4/5PB1/2pR4/2Ppp3/K1b5/P7/8 w - - 0 1,19,Josif Michailowitsch Kricheli
44f8393c,3q4/7p/4p2P/1r2P1p1/2Ppk1P1/1NpN1RP1/2p1p3/3bK2B w - - 0 1,9,Сергей Анатольевич Билык
5619e133,8/N7/2R5/3k4/8/4K3/2P5/8 w - - 0 1,8,Александр Васильевич Галицкий
8113657a,7K/8/7k/8/4p3/4N1P1/8/3B3N w - - 0 1,8,Николай С. Зиновьев
2e4e2c40,8/8/8/8/8/5P1Q/4qpN1/5k1K w - - 0 1,9,Віталій Нестерович Столяров
d7ce5807,8/p5pp/5prb/5Kp1/PB4B1/3N4/6p1/5krb w - - 0 1,11,Wilfried König
1ba54289,kq6/2R5/2P5/K7/8/8/1p6/7Q w - - 0 1,18,Gregor Werner
b70c1df1,8/8/B7/8/1B6/3K4/pp6/rk6 w - - 0 1,11,Алексей Сергеевич Оганесян
ec70893f,K2n3b/p7/rp6/3p1N1k/2p2p1p/2p5/8/1B4R1 w - - 0 1,8,Wolfgang Bär
d2cca912,8/8/8/3Q4/3p4/7K/6P1/4Nq1k w - - 0 1,8,Baldur J. L. Kozdon
fb939ab9,3N4/8/2BkN3/8/3K4/8/8/8 w - - 0 1,8,Hartmut Brozus
473d7387,5rr1/2b3B1/7N/2p4p/1pK2p1p/pp6/6RR/5k2 w - - 0 1,10,Imants Dulbergs
602c855f,8/8/6p1/6P1/6Kp/6pN/6P1/5N1k w - - 0 1,8,Klaus Brenner
d07b219f,rk6/bBp5/R1P5/P2Ppp2/2P4p/4PKp1/6pr/6Nb w - - 0 1,8,Oto Mihalčo
b4e253bc,K7/8/k7/p3Q3/8/2p5/8/b7 w - - 0 1,8,Сергій Іванович Ткаченко
1a105b97,B6k/3N1K1P/8/7Q/8/8/1q6/8 w - - 0 1,8,Павел Михайлович Арестов
674eae2a,1b1n1k2/2N2p2/2p2K2/8/8/2P5/6rB/7r w - - 0 1,8,Gabriel Léon-Martin
00ef327d,2r5/3p1p2/1p1BB3/4pN2/2p2kpP/2bp2N1/6K1/8 w - - 0 1,12,Michael Herzberg
dff815f6,8/8/8/8/8/8/2K3P1/N3kBBN w - - 0 1,8,Евгений Викторович Марков
a318b396,8/p7/Kp6/8/k2P4/1p6/1P6/4B3 w - - 0 1,8,Виталий Семёнович Коваленко
452e6090,4N2k/6R1/Kp6/6p1/5p2/4p3/1Bb4n/5nq1 w - - 0 1,10,Baldur J. L. Kozdon
1e3b7b28,8/r7/B7/8/8/p7/5p1p/2b2K1k w - - 0 1,8,Martin Wolfgang Hoffmann
feb6a188,B7/4p3/p3P3/P1N1P3/P1k2P2/P1p3Pp/2P3pK/6B1 w - - 0 1,8,Виктор Фёдорович Волчек
1e207042,2R1RB2/bn1p1p2/5k1K/2pp1Ppn/rPPp2P1/3p4/1r3P2/8 w - - 0 1,10,Ioannis Kalkavouras
061c4f5e,8/kK1p4/P1rR1r2/3p4/4P1p1/6pP/2P2P2/8 w - - 0 1,12,Hans Peter Rehm
38ccf8d3,K3R3/1p6/1p1p4/1P1P4/2P1pN2/4pN2/4Pp1r/5k1B w - - 0 1,10,Григорий Леонтьевич Попов
13954162,8/5K1p/8/1p6/1p1R1PpP/1P2B1N1/1P2Pr1p/4N1kr w - - 0 1,9,Stephan Eisert
545107cb,8/8/8/8/8/p7/B7/N1k1KN2 w - - 0 1,9,Николай С. Зиновьев
a608523e,k1BB4/8/N7/8/8/8/5K1p/8 w - - 0 1,9,Николай С. Зиновьев
913b93f2,8/4n3/p5P1/P1p1p1P1/p1pkP3/4p3/1P1NP2B/3Nn2K w - - 0 1,11,Marcel Tribowski
fd1e233b,3r1k2/1p2p2p/1P2B2P/R7/5p2/1pK2p2/bP5b/2n5 w - - 0 1,18,Григорий Леонтьевич Попов
787055cb,4K3/2pn1N2/1brPkp2/2pp1p2/3n4/3BN1p1/8/8 w - - 0 1,8,Horst Böttger
74454896,8/2Q5/8/pr6/k7/1pK5/8/8 w - - 0 1,15,Евгений Иванович Шаповалов
07cf3e8f,8/8/5pP1/5B2/1PPP4/pp3PpK/p1r3P1/1k4BR w - - 0 1,12,Бошко Милошески
5ff8b812,4Kb2/5Np1/2p1k1p1/2p5/2PpNnP1/2PP3p/4n3/2rbr1B1 w - - 0 1,15,Volker Zipf
490b2104,8/3p4/5K1k/6pq/8/8/2Q5/8 w - - 0 1,13,Alessandro Cuppini
7a5b1595,5B1k/7p/8/8/8/5B2/8/K7 w - - 0 1,9,Николай С. Зиновьев
845eabf5,8/6p1/6Bk/5P2/3B3p/p6P/K2N1b2/8 w - - 0 1,8,Александр Николаевич Варицкий
d0a526c6,8/8/8/8/8/3k4/1K6/4R3 w - - 0 1,13,Paul Buerke
e208733a,8/5p2/5p2/5p2/5p2/5p2/5Pp1/1KQ3bk w - - 0 1,11,Ruswelt Marzwalaschwili
187d2b6c,8/3P4/8/8/5K1k/8/6q1/8 w - - 0 1,9,Николай С. Зиновьев
dc5ce784,8/p4N2/7p/5K1k/p7/P5p1/6P1/8 w - - 0 1,10,Martin Wolfgang Hoffmann
1df021bf,8/8/8/8/5B2/p3R1K1/5R2/1q4k1 w - - 0 1,8,Baldur J. L. Kozdon
f1e78f2f,8/8/5p1N/5K1k/8/8/6P1/6N1 w - - 0 1,8,Николай С. Зиновьев
6e28a009,8/3p1n2/1K1k2N1/1p1p1Pp1/1pP1p1N1/1P1bP3/B1q1r3/r2R4 w - - 0 1,12,Пётр Леонтьевич Макаренко
9fe8e768,k1K1R3/pppp4/rr1p1pp1/7p/4q3/2nn4/8/2b5 w - - 0 1,8,Roméo Bédoni
a4358920,2NB4/8/k1B5/8/8/7p/7p/7K w - - 0 1,10,Николай С. Зиновьев
8df43132,8/8/8/8/1B1b2p1/2p3P1/p1K1p3/k3N3 w - - 0 1,8,Anton Baumann
51ac3d66,8/6p1/1Pb1p2r/p1P3pP/2P1k1K1/N4N2/1ppP1b1B/n4B2 w - - 0 1,9,Лев Ильич Лошинский
6129ff3a,6R1/1p1k4/N3p2p/Np2P2r/3K4/4P3/p3P2p/rn6 w - - 0 1,16,Григорий Леонтьевич Попов
9dd323b2,5b1r/1K3R2/3p3p/1N1Bk3/1PP2p2/Pp1p1p2/1qbp1PP1/2n5 w - - 0 1,9,Ralf Krätschmer
6c788544,5R2/1p3p2/1p1p4/pK1k1P2/P1N1p3/2b1P3/8/8 w - - 0 1,8,Norbert Ringeltaube
dc86b63a,8/8/8/3p4/7p/4PN2/2K2P2/5BBk w - - 0 1,8,Николай Николаевич Акимов
6931e6e9,3K2Bk/8/5N2/8/7q/8/1B6/6R1 w - - 0 1,8,Baldur J. L. Kozdon
a9f6c71f,r2b4/4p3/r2Pp3/2p5/5P1B/2PpP2p/p2KPP1p/R3Nk1b w - - 0 1,8,Rafael Ruppin
4e33fcab,3k4/1Q6/8/1p2p3/1Pp5/8/2K5/8 w - - 0 1,9,Анатолий Сергеевич Боровков
e4c0098e,N7/4P3/5B2/1K1k1B1q/8/8/8/8 w - - 0 1,9,Николай С. Зиновьев
3377d158,8/8/3k4/3N4/NK4B1/3p4/3P4/8 w - - 0 1,8,Николай С. Зиновьев
49a172f9,2r2n2/2pp1RK1/4k3/1PPp4/P2Rp1N1/8/3BBP2/3qn2b w - - 0 1,8,Валерій Володимирович Копил
49fbcea2,7n/1N1p4/3P4/1ppPk3/4P1RB/4p3/2N1p2p/6bK w - - 0 1,8,Ralf Krätschmer
a52c3f6a,k1K5/1RP4n/q7/2p5/2p5/5Q2/8/n7 w - - 0 1,10,Baldur J. L. Kozdon
6cafa054,4B3/1P1p3K/k7/N1Bp3p/1P1P1b2/p1p1p1pR/r1PP1p2/n4rq1 w - - 0 1,13,Валерий Афанасьевич Кириллов
c4368e59,6R1/7K/8/8/8/8/1p5k/8 w - - 0 1,16,Elmar Bartel
c12e74d1,2b1B2n/4p1K1/pN2k1p1/n3P3/pp1P1p1N/3R1P1P/1P1B3r/q1br1R2 w - - 0 1,8,Wolfgang Bär
e40fbf79,1k5K/4R3/4p3/4N2n/8/4P2p/7p/7B w - - 0 1,8,Martin Wolfgang Hoffmann
8d9df908,1nrbB3/1bkqpP2/pNprp3/K1NpRp2/1PpP1P2/2P1P3/8/8 w - - 0 1,18,Imants Dulbergs
6576aa0d,K7/Np6/kb1R4/r4ppp/1P5B/3pRp2/5pr1/6nq w - - 0 1,10,Herbert Schoba
9e5d77b1,8/7p/8/8/8/7p/Q5br/4K1k1 w - - 0 1,12,Manfred Zucker
c8f57d13,6kr/5b1p/5K1B/8/8/7N/8/8 w - - 0 1,11,Владимир Викторович Кузьмичев
44162123,kq6/3Q1R2/p7/8/1n2K3/8/8/8 w - - 0 1,8,Віктор Леонiдович Щербіна
aabddd27,8/8/p7/p7/P7/7K/6p1/1Q3bbk w - - 0 1,8,Eugene Beauharnais Cook
dcd06cb5,1k6/7P/7b/8/8/8/8/6K1 w - - 0 1,10,Bernhard Rittmeier
ebffbaad,4b2k/1np2pR1/2Np1B2/n2K1p2/1p3p2/1p3p1r/PP6/8 w - - 0 1,8,Julius Buchwald
8ece91de,6b1/6b1/n2RPp2/1p1n4/p1p1k1BK/1rRN1N2/3P1Pp1/8 w - - 0 1,10,Zoltán Labai
9e41fc16,K7/2p5/p1N5/P1kB4/2p5/2N5/8/8 w - - 0 1,8,Виктор Сергеевич Колпаков
4400b389,1nK5/8/p2pp3/2Pk4/1p1B4/3B4/bP3p2/8 w - - 0 1,10,Hans Peter Rehm
a812a0a1,8/1p6/8/1p6/1P6/pN6/k1K5/8 w - - 0 1,8,Pavlos N. Moutecidis
5e4e3fc0,b6n/3B3n/5p2/b2p1P2/3PkP2/1N2p1Rp/2K3P1/8 w - - 0 1,10,Григорий Леонтьевич Попов
cb914c71,8/8/8/8/8/3p4/5p1p/2QK1k2 w - - 0 1,8,Владимир В. Никитин
359aba9f,5K1k/6pp/7B/8/7P/8/6P1/8 w - - 0 1,10,Віктор Миколайович Сізоненко
78fbbfb1,k7/7p/BK6/6p1/6P1/8/8/8 w - - 0 1,8,Суюнбек Исмаилович Болотбеков
d65e740b,1b4bn/3p4/1p1P4/BP1p1P2/2kPpP2/pR2P3/KpP5/1B6 w - - 0 1,10,Udo Marks
fd4d5285,4N3/8/4p1K1/3pkp2/4p3/2P1P3/2P1P1B1/8 w - - 0 1,8,Sébastien Luce
3e779d18,6Q1/8/8/5r2/2p5/4K3/7b/7k w - - 0 1,13,Анатолій Вікторович Караманіц
e265755f,8/1N6/4Bp2/4kP2/6p1/3PP3/5Pp1/6Kb w - - 0 1,8,Ralf Krätschmer
b7f3692d,8/8/1p6/8/4K3/kB1N4/P7/8 w - - 0 1,9,Wolfgang Alexander Bruder
c9ef25a4,8/8/8/K7/8/p1Q5/1pn5/k7 w - - 0 1,12,Валерий Николаевич Барсуков
a37a6c7c,8/5P1k/7p/7K/8/8/8/8 w - - 0 1,8,Werner Speckmann
37357d2c,KNk5/pN6/3P3n/2p4n/1p1ppP1b/8/1B4b1/3B4 w - - 0 1,12,Oto Mihalčo
81609b60,8/8/7N/p2p1p2/Pp1P1P2/kp6/1p6/1K6 w - - 0 1,8,Tivadar Kardos
2fb32a4e,2KN4/8/3k1P2/1pnpnp2/p5p1/4p2p/1pN4R/8 w - - 0 1,9,Jacobus Haring
3d55e514,8/8/8/5N2/7p/7p/pp1pR3/rrbK3k w - - 0 1,14,Ferhat Karmil
e3322b10,1br2q2/2N1p2P/B1PP3r/3p1p2/1P1k1B2/P4P2/1K4Pp/3b4 w - - 0 1,12,Stefan Schneider
72ee47a5,2q4r/p1r1p1Q1/1p1R1N2/2p1k1nb/2P3p1/1P1P4/P4K1P/2b5 w - - 0 1,14,Horatio Bolton
848df213,8/2n5/p1K5/kp6/8/1P4B1/8/8 w - - 0 1,16,Bruno Fargette
c3607c57,8/8/1pK2R2/bp6/bk1pB1p1/1p1P1pP1/1P1P1P2/8 w - - 0 1,9,Siegfried Brüchner
6f09d849,7N/8/1p1b4/kB6/2K5/6p1/8/8 w - - 0 1,9,Андрей Николаевич Журавлёв
dfda18b2,5bbr/1KpR4/1p2rp2/4p3/p1B2p2/3N1p1p/1R6/k7 w - - 0 1,10,Olivier Schmitt
cab98a67,8/7r/pp1p2b1/rk1NP3/p3p3/Kp6/1P3P2/2R5 w - - 0 1,8,Karl Heinz Siehndel
6b3b8804,1k6/8/1BBN4/8/7p/8/8/7K w - - 0 1,8,Jacques Rotenberg
43b0bd6f,3R1nqb/B2n1prb/4pPp1/1p1kN1P1/1P2rP1K/2p5/2P1P3/7B w - - 0 1,23,Gyula R. Neukomm
329b4361,3n4/2K4p/2b1p3/Bpkp2Rp/2p5/2p2p2/2P2N2/5N2 w - - 0 1,10,Wolfgang Bär
1edfb9ba,1K6/p2Np3/1p1kBp2/3P2p1/1p4p1/7p/8/B7 w - - 0 1,8,Златко Михаjлоски
98388ff9,2K4n/2Q5/1R6/5Rp1/k1b4p/p1r5/1b6/n7 w - - 0 1,8,Яков Георгиевич Владимиров
5196ac89,8/8/1K6/p7/kp2b3/1p6/1P6/4N3 w - - 0 1,14,Renato di Vincenzi
7b077f11,4KBk1/P5p1/6P1/8/8/8/7p/8 w - - 0 1,8,Daniele Guglielmo Gatti
6d761c0e,8/k7/Pp6/1P6/8/6K1/8/8 w - - 0 1,10,Juraj Lörinc
08cf5fa0,KR2R3/2p2p2/8/6p1/N1k1B3/2p5/5Pp1/7b w - - 0 1,8,Юрій Маркович Гордіан
12f6ca3d,4k2r/2R1ppb1/2R2pP1/4P3/2P1P2r/1P2P2p/1K6/8 w - - 0 1,9,Michael Oestreicher
