id,fen,mateIn,composer
562d820f,8/1p1Pk2N/8/2K5/4b3/8/7B/8 w - - 0 1,-1,Ladislav Prokeš
f06927d4,6nk/1p1p2pp/1P1P3B/1PpK4/8/8/8/8 w - - 0 1,-1,Hermann Gininger
8ec77cca,r4k2/B1R5/5K2/8/8/8/8/8 w - - 0 1,-1,Josef Kling
62856787,k1K5/p3bp1P/1P2p2Q/2p3p1/2P3p1/Bq6/4p3/3R1r2 w - - 0 1,-1,Евгений Копылов
49165863,1r6/7P/6Kp/8/6P1/8/1B6/2Nb2k1 w - - 0 1,-1,Helmuth Steniczka
04f971ef,4r3/6q1/8/p2Q1K1k/8/6pP/8/1R6 w - - 0 1,-1,Hubert D'Hondt
23ad7bda,8/4N3/7K/8/6pk/6p1/8/6Bb w - - 0 1,-1,Алексей Алексеевич Троицкий
b173bfd7,8/3p4/8/8/8/KB5p/6qQ/2k5 w - - 0 1,-1,Carel Christiaan Wilhelm Mann
c1005e49,6kN/7p/5P2/8/8/8/K7/8 w - - 0 1,-1,David Gurgenidze
5417a4cc,8/8/P4k2/4N3/4r3/1K6/7P/8 w - - 0 1,-1,Kari Valtonen
06e677f0,8/5pr1/4Pb2/1B5p/7N/6p1/1N3pKP/2k5 w - - 0 1,-1,Дмитрий Фёдорович Петров
f73901b7,1b6/P1Pk1B1q/1p6/1NP5/8/6p1/8/6K1 w - - 0 1,-1,Genrich Kasparjan
7bf9623c,5q2/1N6/3p4/3P1p1p/3B3k/1N5P/7K/8 w - - 0 1,-1,Jenő Lamoss
222b44eb,8/3k4/B7/8/K1Rpn3/8/p7/8 w - - 0 1,-1,Глеб Николаевич Заходякин
45ac646f,8/1R3R2/p1K5/k7/8/8/q7/8 w - - 0 1,-1,Rudolf Svoboda
9bbd3f47,k2K4/1p1N4/b1p5/2P5/N7/8/1P1n4/8 w - - 0 1,-1,Bernhard Horwitz
5dbfe7b7,8/8/7k/8/7P/2p5/4KN2/3B2b1 w - - 0 1,-1,Тигран Борисович Горгиев
bbf02877,3k4/1P1PRP2/8/p7/p7/p7/K7/1r3r2 w - - 0 1,-1,Welimir Kalandadse
795d6230,7k/6Np/8/RK6/pB1r4/8/4p3/8 w - - 0 1,-1,Gia Nadareischwili
98891b8f,1r1brR1B/2P4k/6p1/2R5/8/6KP/8/8 w - - 0 1,-1,Олег Викторович Перваков
407912eb,n7/6R1/4k1pP/1P6/8/8/6K1/1r6 w - - 0 1,-1,Dawid Przepiórka
